iter	Passed	Remaining
653	113225	59902
654	113417	59739
655	113530	59534
656	113707	59363
657	113839	59169
658	114016	58998
659	114144	58801
660	114320	58630
661	114471	58446
662	114660	58281
663	114839	58111
664	114993	57929
665	115163	57754
666	115330	57578
667	115495	57401
668	115653	57221
669	115826	57048
670	115995	56874
671	116187	56710
672	116360	56537
673	116538	56367
674	116706	56192
675	116873	56016
676	117047	55843
677	117209	55665
678	117389	55496
679	117548	55317
680	117737	55151
681	117920	54983
682	118058	54794
683	118232	54621
684	118382	54438
685	118552	54264
686	118730	54094
687	118906	53922
688	119095	53757
689	119279	53589
690	119449	53415
691	119615	53239
692	119783	53064
693	119978	52901
694	120141	52724
695	120303	52546
696	120480	52375
697	120673	52211
698	120849	52039
699	121019	51865
700	121199	51695
701	121365	51519
702	121535	51345
703	121732	51183
704	121894	51005
705	122079	50837
706	122228	50654
707	122406	50484
708	122577	50310
709	122749	50137
710	122934	49968
711	123114	49799
712	123278	49622
713	123458	49452
714	123560	49251
715	123724	49075
716	123913	48908
717	124077	48732
718	124267	48566
719	124425	48387
720	124580	48207
721	124752	48034
722	124945	47869
723	125125	47699
724	125287	47522
725	125455	47348
726	125678	47194
727	125853	47022
728	126062	46862
729	126248	46694
730	126428	46524
731	126604	46352
732	126777	46179
733	126960	46010
734	127132	45836
735	127298	45661
736	127471	45488
737	127641	45314
738	127807	45139
739	127988	44968
740	128149	44791
741	128329	44621
742	128510	44451
743	128674	44275
744	128837	44098
745	129007	43924
746	129185	43753
747	129352	43578
748	129528	43406
749	129694	43231
750	129868	43058
751	130051	42889
752	130239	42721
753	130416	42549
754	130590	42377
755	130765	42204
756	130945	42033
757	131117	41860
758	131294	41689
759	131467	41516
760	131660	41349
761	131835	41176
762	132000	41001
763	132171	40827
764	132349	40656
765	132536	40487
766	132716	40316
767	132889	40143
768	133077	39975
769	133243	39800
770	133438	39633
771	133631	39466
772	133812	39295
773	134010	39129
774	134209	38963
775	134389	38792
776	134558	38618
777	134730	38444
778	134912	38274
779	135105	38106
780	135293	37937
781	135506	37775
782	135690	37605
783	135868	37433
784	136046	37261
785	136196	37081
786	136367	36907
787	136563	36740
788	136734	36566
789	136912	36394
790	137088	36221
791	137235	36041
792	137410	35868
793	137602	35700
794	137811	35536
795	137979	35361
796	138144	35186
797	138310	35010
798	138484	34837
799	138656	34664
800	138819	34488
801	138995	34315
802	139142	34135
803	139310	33961
804	139470	33784
805	139633	33609
806	139789	33431
807	139985	33263
808	140154	33089
809	140361	32924
810	140541	32752
811	140706	32577
812	140890	32406
813	141078	32236
814	141246	32062
815	141423	31889
816	141581	31712
817	141742	31536
818	141915	31363
819	142126	31198
820	142302	31025
821	142464	30850
822	142634	30676
823	142747	30489
824	142923	30317
825	143082	30140
826	143259	29968
827	143387	29785
828	143556	29611
829	143747	29442
830	143925	29270
831	144084	29093
832	144252	28919
833	144419	28745
834	144592	28572
835	144743	28394
836	144870	28212
837	145038	28038
838	145192	27861
839	145354	27686
840	145546	27517
841	145733	27346
842	145904	27173
843	146061	26997
844	146180	26814
845	146353	26641
