iter	Passed	Remaining
760	18189	5712
761	18211	5688
762	18233	5663
763	18257	5639
764	18283	5616
765	18308	5593
766	18332	5568
767	18355	5544
768	18382	5521
769	18407	5498
770	18428	5473
771	18452	5449
772	18474	5425
773	18494	5400
774	18521	5377
775	18543	5352
776	18567	5328
777	18588	5304
778	18611	5279
779	18631	5255
780	18656	5231
781	18678	5207
782	18700	5182
783	18724	5158
784	18745	5134
785	18768	5110
786	18790	5085
787	18812	5061
788	18835	5037
789	18857	5012
790	18880	4988
791	18902	4964
792	18923	4939
793	18946	4915
794	18967	4890
795	18990	4866
796	19012	4842
797	19035	4818
798	19057	4794
799	19077	4769
800	19099	4745
801	19123	4721
802	19147	4697
803	19170	4673
804	19193	4649
805	19215	4625
806	19237	4600
807	19257	4576
808	19279	4551
809	19302	4527
810	19325	4503
811	19346	4479
812	19368	4454
813	19388	4430
814	19411	4406
815	19432	4381
816	19456	4358
817	19481	4334
818	19502	4310
819	19525	4286
820	19548	4262
821	19573	4238
822	19597	4214
823	19629	4192
824	19656	4169
825	19681	4146
826	19700	4121
827	19722	4096
828	19747	4073
829	19769	4049
830	19791	4025
831	19818	4001
832	19840	3977
833	19862	3953
834	19886	3929
835	19910	3905
836	19931	3881
837	19953	3857
838	19974	3832
839	19996	3808
840	20020	3785
841	20046	3761
842	20069	3737
843	20093	3713
844	20117	3690
845	20144	3666
846	20173	3644
847	20198	3620
848	20220	3596
849	20242	3572
850	20265	3548
851	20289	3524
852	20311	3500
853	20333	3476
854	20354	3451
855	20375	3427
856	20401	3404
857	20424	3380
858	20444	3355
859	20464	3331
860	20488	3307
861	20509	3283
862	20531	3259
863	20555	3235
864	20576	3211
865	20600	3187
866	20624	3163
867	20645	3139
868	20668	3115
869	20688	3091
870	20710	3067
871	20732	3043
872	20754	3019
873	20778	2995
874	20802	2971
875	20827	2948
876	20849	2924
877	20871	2900
878	20892	2876
879	20913	2851
880	20935	2827
881	20958	2803
882	20982	2780
883	21003	2756
884	21028	2732
885	21055	2709
886	21077	2685
887	21100	2661
888	21120	2637
889	21147	2613
890	21171	2590
891	21194	2566
892	21217	2542
893	21241	2518
894	21263	2494
895	21286	2470
896	21309	2446
897	21337	2423
898	21364	2400
899	21389	2376
900	21411	2352
901	21434	2328
902	21458	2305
903	21482	2281
904	21508	2257
905	21532	2234
906	21554	2210
907	21577	2186
908	21600	2162
909	21624	2138
910	21646	2114
911	21669	2090
912	21692	2067
913	21713	2043
914	21736	2019
915	21759	1995
916	21782	1971
917	21805	1947
918	21826	1923
919	21848	1899
920	21867	1875
921	21890	1851
922	21913	1828
923	21936	1804
924	21959	1780
925	21980	1756
926	22002	1732
927	22026	1708
928	22051	1685
929	22075	1661
930	22097	1637
931	22119	1613
932	22142	1590
933	22165	1566
934	22188	1542
935	22215	1519
936	22238	1495
937	22259	1471
938	22280	1447
939	22301	1423
940	22322	1399
941	22345	1375
942	22370	1352
943	22394	1328
944	22416	1304
945	22438	1280
946	22464	1257
947	22488	1233
948	22510	1209
949	22530	1185
950	22554	1162
951	22576	1138
952	22596	1114
953	22619	1090
954	22642	1066
955	22666	1043
956	22688	1019
957	22709	995
958	22734	971
959	22756	948
960	22780	924
961	22804	900
962	22827	877
963	22849	853
964	22872	829
965	22896	805
966	22919	782
967	22944	758
